2026-07-15 12:36:56,811 | scraper | INFO     | practice.py:55 | This is INFO
2026-07-15 12:36:56,811 | scraper | WARNING  | practice.py:56 | This is warning
2026-07-15 12:36:56,811 | scraper | ERROR    | practice.py:57 | This is error
2026-07-15 12:37:15,438 | scraper | INFO     | practice.py:55 | This is INFO
2026-07-15 12:37:15,438 | scraper | WARNING  | practice.py:56 | This is warning
2026-07-15 12:37:15,438 | scraper | ERROR    | practice.py:57 | This is error
2026-07-15 12:38:21,207 | scraper | INFO     | practice.py:55 | This is INFO
2026-07-15 12:38:21,207 | scraper | WARNING  | practice.py:56 | This is warning
2026-07-15 12:38:21,207 | scraper | ERROR    | practice.py:57 | This is error
2026-07-15 12:39:12,612 | scraper | DEBUG    | practice.py:54 | DEBUG THIS FILE
2026-07-15 12:39:12,612 | scraper | INFO     | practice.py:55 | This is INFO
2026-07-15 12:39:12,612 | scraper | WARNING  | practice.py:56 | This is warning
2026-07-15 12:39:12,612 | scraper | ERROR    | practice.py:57 | This is error
2026-07-15 12:39:25,527 | scraper | INFO     | practice.py:55 | This is INFO
2026-07-15 12:39:25,527 | scraper | WARNING  | practice.py:56 | This is warning
2026-07-15 12:39:25,527 | scraper | ERROR    | practice.py:57 | This is error
2026-07-15 12:39:43,427 | scraper | DEBUG    | practice.py:54 | DEBUG THIS FILE
2026-07-15 12:39:43,427 | scraper | INFO     | practice.py:55 | This is INFO
2026-07-15 12:39:43,427 | scraper | WARNING  | practice.py:56 | This is warning
2026-07-15 12:39:43,427 | scraper | ERROR    | practice.py:57 | This is error
2026-07-15 13:15:13,745 | scraper | DEBUG    | practice.py:54 | DEBUG THIS FILE
2026-07-15 13:15:13,746 | scraper | INFO     | practice.py:55 | This is INFO
2026-07-15 13:15:13,746 | scraper | WARNING  | practice.py:56 | This is warning
2026-07-15 13:15:13,746 | scraper | ERROR    | practice.py:57 | This is error
2026-07-15 13:16:01,386 | scraper | DEBUG    | practice.py:55 | DEBUG THIS FILE
2026-07-15 13:16:01,386 | scraper | INFO     | practice.py:56 | This is INFO
2026-07-15 13:16:01,386 | scraper | WARNING  | practice.py:57 | This is warning
2026-07-15 13:16:01,386 | scraper | ERROR    | practice.py:58 | This is error
2026-07-15 13:16:30,983 | scraper | DEBUG    | practice.py:56 | DEBUG THIS FILE
2026-07-15 13:16:30,984 | scraper | INFO     | practice.py:57 | This is INFO
2026-07-15 13:16:30,984 | scraper | WARNING  | practice.py:58 | This is warning
2026-07-15 13:16:30,984 | scraper | ERROR    | practice.py:59 | This is error
2026-07-15 13:16:46,104 | scraper | DEBUG    | practice.py:56 | DEBUG THIS FILE
2026-07-15 13:16:46,104 | scraper | INFO     | practice.py:57 | This is INFO
2026-07-15 13:16:46,104 | scraper | WARNING  | practice.py:58 | This is warning
2026-07-15 13:16:46,104 | scraper | ERROR    | practice.py:59 | This is error
2026-07-15 13:16:57,578 | scraper | DEBUG    | practice.py:56 | DEBUG THIS FILE
2026-07-15 13:16:57,578 | scraper | INFO     | practice.py:57 | This is INFO
2026-07-15 13:16:57,578 | scraper | WARNING  | practice.py:58 | This is warning
2026-07-15 13:16:57,578 | scraper | ERROR    | practice.py:59 | This is error
2026-07-15 13:17:03,628 | scraper | DEBUG    | practice.py:56 | DEBUG THIS FILE
2026-07-15 13:17:03,628 | scraper | INFO     | practice.py:57 | This is INFO
2026-07-15 13:17:03,628 | scraper | WARNING  | practice.py:58 | This is warning
2026-07-15 13:17:03,628 | scraper | ERROR    | practice.py:59 | This is error
2026-07-15 13:21:04,439 | scraper | DEBUG    | practice.py:56 | DEBUG THIS FILE
2026-07-15 13:21:04,439 | scraper | INFO     | practice.py:57 | This is INFO
2026-07-15 13:21:04,439 | scraper | WARNING  | practice.py:58 | This is warning
2026-07-15 13:21:04,439 | scraper | ERROR    | practice.py:59 | This is error
2026-07-15 13:34:33,451 | scraper | DEBUG    | practice.py:56 | DEBUG THIS FILE
2026-07-15 13:34:33,451 | scraper | INFO     | practice.py:57 | This is INFO
2026-07-15 13:34:33,452 | scraper | WARNING  | practice.py:58 | This is warning
2026-07-15 13:34:33,452 | scraper | ERROR    | practice.py:59 | This is error
2026-07-15 13:35:57,286 | scraper | DEBUG    | practice.py:56 | DEBUG THIS FILE
2026-07-15 13:35:57,287 | scraper | INFO     | practice.py:57 | This is INFO
2026-07-15 13:35:57,287 | scraper | WARNING  | practice.py:58 | This is warning
2026-07-15 13:35:57,287 | scraper | ERROR    | practice.py:59 | This is error
2026-07-15 13:43:35,480 | scraper | DEBUG    | practice.py:56 | DEBUG THIS FILE
2026-07-15 13:43:35,480 | scraper | INFO     | practice.py:57 | This is INFO
2026-07-15 13:43:35,480 | scraper | WARNING  | practice.py:58 | This is warning
2026-07-15 13:43:35,480 | scraper | ERROR    | practice.py:59 | This is error
