2026-07-15 16:59:24,496 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-15 16:59:24,504 | urllib3.connectionpool | DEBUG    | connectionpool.py:1062 | Starting new HTTPS connection (1): books.toscrape.com:443
2026-07-15 16:59:26,546 | urllib3.connectionpool | DEBUG    | connectionpool.py:544 | https://books.toscrape.com:443 "GET /catalogue/a-light-in-the-attic_1000/index.html HTTP/1.1" 200 9279
2026-07-15 16:59:26,548 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-15 16:59:26,574 | scraperflow.cli | INFO     | cli.py:65 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html parsing is completed
2026-07-15 16:59:26,575 | scraperflow.cli | INFO     | cli.py:70 | Data is saved in json
2026-07-15 17:08:50,737 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-15 17:08:52,567 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-15 17:13:40,255 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
2026-07-15 17:13:41,053 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html fetched succesfully. status code: 200
2026-07-15 17:13:41,069 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html parsing is completed
2026-07-15 17:13:41,069 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
2026-07-15 17:13:42,141 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html fetched succesfully. status code: 200
2026-07-15 17:13:42,144 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html parsing is completed
2026-07-15 17:13:42,144 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/soumission_998/index.html
2026-07-15 17:13:43,215 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/soumission_998/index.html fetched succesfully. status code: 200
2026-07-15 17:13:43,223 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/soumission_998/index.html parsing is completed
2026-07-15 17:13:43,223 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/sharp-objects_997/index.html
2026-07-15 17:13:44,288 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/sharp-objects_997/index.html fetched succesfully. status code: 200
2026-07-15 17:13:44,295 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/sharp-objects_997/index.html parsing is completed
2026-07-15 17:13:44,295 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
2026-07-15 17:13:45,394 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html fetched succesfully. status code: 200
2026-07-15 17:13:45,401 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html parsing is completed
2026-07-15 17:13:45,401 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
2026-07-15 17:13:46,691 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/the-requiem-red_995/index.html fetched succesfully. status code: 200
2026-07-15 17:13:46,694 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/the-requiem-red_995/index.html parsing is completed
2026-07-15 17:13:46,694 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
2026-07-15 17:13:47,918 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html fetched succesfully. status code: 200
2026-07-15 17:13:47,932 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html parsing is completed
2026-07-15 17:13:47,932 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
2026-07-15 17:13:49,010 | scraperflow.fetcher | INFO     | fetcher.py:12 | URL: https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html fetched succesfully. status code: 200
2026-07-15 17:13:49,022 | scraperflow.cli | INFO     | cli.py:84 | URL: https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html parsing is completed
2026-07-15 17:13:49,022 | scraperflow.fetcher | INFO     | fetcher.py:7 | Attempting to fetch URL https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
